Year,Rx1day,Rx5day,R95pTOT,N95_Frequency,R5mm,R10mm,SDII,CDD,CWD,PRCPTOT
1996,5.557285785675049,14.791414260864258,5.557285785675049,1,2,0,2.2255423069000244,4,164,120.17929077148438
1997,8.31175422668457,25.482648849487305,42.31132173538208,8,4,0,2.3497135639190674,6,131,155.0811004638672
1998,5.602749347686768,24.256418228149414,11.188882827758789,2,2,0,2.263134479522705,13,184,165.2088165283203
1999,4.764145374298096,13.041624069213867,6.4422767162323,2,0,0,1.8895306587219238,5,130,134.15667724609375
2000,3.490819215774536,12.890836715698242,0.0,0,0,0,1.7360212802886963,7,32,93.74514770507812
2001,3.18933367729187,13.48539924621582,0.0,0,0,0,1.7086306810379028,14,27,95.68331909179688
2002,6.789099216461182,17.330913543701172,10.608260154724121,2,1,0,2.138211250305176,7,13,156.08941650390625
2003,6.4637370109558105,13.37995719909668,11.973187923431396,2,2,0,1.7974461317062378,4,188,79.08763122558594
2004,5.110569000244141,15.669246673583984,9.677034378051758,2,1,0,1.8484920263290405,3,27,64.69721984863281
2005,5.219582557678223,20.54227638244629,5.219582557678223,1,3,0,2.3759560585021973,7,226,87.9103775024414
2006,5.306149005889893,21.77166748046875,24.440170764923096,5,1,0,2.276468515396118,12,140,170.73513793945312
2007,5.875349044799805,19.392513275146484,24.443485498428345,5,3,0,2.4405722618103027,11,32,151.3154754638672
2008,4.199909210205078,15.56431770324707,0.0,0,0,0,2.096667528152466,3,49,98.54337310791016
2009,5.429399490356445,17.78740119934082,32.99176597595215,7,3,0,2.315087080001831,15,144,206.04275512695312
2010,8.940956115722656,18.17527198791504,25.442861557006836,4,2,0,2.0635550022125244,4,154,125.8768539428711
2011,6.956857204437256,18.515705108642578,6.956857204437256,1,1,0,1.9243820905685425,6,22,107.76539611816406
2012,5.17750358581543,16.703319549560547,9.487464904785156,2,1,0,2.1531174182891846,6,25,170.09628295898438
2013,6.409339904785156,25.143585205078125,18.3077335357666,3,3,0,2.369786500930786,10,161,120.8591079711914
2014,4.262033462524414,16.7879695892334,0.0,0,0,0,1.9009990692138672,17,36,136.87193298339844
2015,5.019533634185791,21.41669464111328,0.0,0,1,0,1.9553256034851074,10,24,80.16835021972656
2016,4.284068584442139,14.62639045715332,0.0,0,0,0,2.0314085483551025,7,167,65.00507354736328
2017,7.48342227935791,25.79620933532715,42.75387382507324,7,6,0,2.662935495376587,4,134,191.73135375976562
2018,7.802971839904785,24.044296264648438,29.77023720741272,6,2,0,2.2005879878997803,5,147,184.84939575195312
2019,3.729414463043213,14.153688430786133,3.171048641204834,1,0,0,1.7849763631820679,9,23,96.38872528076172
2020,5.781859397888184,21.89578628540039,23.174495935440063,5,4,0,2.4108192920684814,9,64,132.59506225585938
2021,9.369616508483887,32.051761627197266,47.466912269592285,8,5,0,2.333904981613159,6,140,144.7021026611328
2022,7.32504940032959,15.94287395477295,22.347315549850464,5,1,0,2.3177833557128906,4,188,113.5713882446289
2023,10.687424659729004,44.65460968017578,77.32614302635193,12,10,1,2.6643054485321045,9,112,274.4234619140625
2024,11.635043144226074,24.01212501525879,11.635043144226074,1,1,1,1.9147279262542725,3,29,114.88367462158203
2025,6.156899929046631,22.456586837768555,23.388502597808838,5,3,0,2.187286138534546,7,9,133.42445373535156
